Country,Clicks,Impressions,CTR,Position
United States,49,1042,4.7%,9.3
United Kingdom,3,37,8.1%,9.5
Brazil,2,19,10.5%,9.9
Canada,2,39,5.1%,7.9
Belgium,1,3,33.3%,6.3
BGR,1,5,20%,8.2
Germany,1,21,4.8%,6.7
Spain,1,11,9.1%,9.2
France,1,9,11.1%,7.0
Indonesia,1,12,8.3%,11.9
India,1,90,1.1%,39.0
South Korea,1,2,50%,7.0
LBN,1,3,33.3%,7.3
Mexico,1,11,9.1%,8.6
Portugal,1,8,12.5%,7.8
Sweden,1,9,11.1%,7.7
Vietnam,1,4,25%,9.8
ALB,0,1,0%,17.0
United Arab Emirates,0,1,0%,7.0
Argentina,0,3,0%,10.0
ATG,0,1,0%,9.0
Australia,0,26,0%,24.6
Austria,0,3,0%,10.0
Bangladesh,0,4,0%,10.8
BHR,0,1,0%,14.0
BRB,0,1,0%,9.0
BWA,0,1,0%,9.0
Switzerland,0,2,0%,10.5
China,0,6,0%,11.0
Colombia,0,4,0%,7.8
CUW,0,1,0%,7.0
CZE,0,1,0%,8.0
Denmark,0,2,0%,6.5
DOM,0,1,0%,8.0
ECU,0,5,0%,9.2
ETH,0,2,0%,19.0
Finland,0,2,0%,9.0
GEO,0,1,0%,5.0
Greece,0,2,0%,12.5
GRD,0,1,0%,8.0
GTM,0,1,0%,38.0
HKG,0,5,0%,8.8
HRV,0,1,0%,8.0
HUN,0,3,0%,7.0
IMN,0,1,0%,10.0
Ireland,0,6,0%,10.5
IRN,0,3,0%,10.3
IRQ,0,3,0%,9.0
Italy,0,8,0%,7.2
JOR,0,1,0%,14.0
Japan,0,2,0%,12.5
LVA,0,5,0%,8.4
MAR,0,1,0%,10.0
MCO,0,1,0%,57.0
Malaysia,0,5,0%,11.4
Nigeria,0,1,0%,6.0
Netherlands,0,19,0%,9.8
Pakistan,0,3,0%,9.3
Peru,0,1,0%,5.0
Philippines,0,2,0%,7.5
Poland,0,4,0%,6.2
QAT,0,1,0%,11.0
Romania,0,1,0%,9.0
RUS,0,7,0%,10.6
Saudi Arabia,0,1,0%,7.0
Singapore,0,6,0%,9.2
SLV,0,1,0%,7.0
SRB,0,7,0%,45.0
Turkey,0,9,0%,11.7
TWN,0,1,0%,11.0
Ukraine,0,4,0%,12.0
URY,0,1,0%,14.0
XKK,0,2,0%,11.0
South Africa,0,3,0%,8.0
