Day,Clicks,Impressions,CTR,Position
19 Sep 2026,4,71,5.6%,6.0
18 Sep 2026,3,67,4.5%,6.0
17 Sep 2026,7,71,9.9%,6.5
16 Sep 2026,5,64,7.8%,5.9
15 Sep 2026,8,55,14.5%,6.1
14 Sep 2026,2,59,3.4%,6.5
13 Sep 2026,6,74,8.1%,5.7
12 Sep 2026,9,69,13%,5.7
11 Sep 2026,7,77,9.1%,6.2
10 Sep 2026,9,91,9.9%,5.3
9 Sep 2026,7,113,6.2%,6.1
8 Sep 2026,5,76,6.6%,6.8
7 Sep 2026,6,72,8.3%,6.5
6 Sep 2026,3,109,2.8%,6.3
5 Sep 2026,10,121,8.3%,6.3
4 Sep 2026,10,74,13.5%,5.4
3 Sep 2026,15,105,14.3%,5.8
2 Sep 2026,10,91,11%,7.2
1 Sep 2026,9,67,13.4%,6.5
31 Aug 2026,1,71,1.4%,7.7
30 Aug 2026,2,74,2.7%,10.8
29 Aug 2026,3,71,4.2%,19.6
28 Aug 2026,5,52,9.6%,10.4
27 Aug 2026,5,69,7.2%,16.0
26 Aug 2026,6,78,7.7%,7.4
25 Aug 2026,1,88,1.1%,10.0
24 Aug 2026,4,62,6.5%,8.3
23 Aug 2026,6,63,9.5%,9.4
