Top queries,Clicks,Impressions,CTR,Position
craziest kalshi bets,7,132,5.3%,8.6
craziest things you can bet on kalshi,4,17,23.5%,6.4
craziest bets on kalshi,3,47,6.4%,8.3
crazy kalshi bets,3,40,7.5%,8.6
kalshi craziest bets,3,31,9.7%,8.8
most ridiculous kalshi bets,2,10,20%,7.2
weirdest bets on kalshi,2,7,28.6%,6.0
weird kalshi bets,1,7,14.3%,12.4
wildest kalshi bets,1,10,10%,8.1
crazy bets on kalshi,0,1,0%,11.0
kalshi biggest bets,0,4,0%,59.8
kalshi crazy bets,0,6,0%,7.2
kalshi weird bets,0,7,0%,9.7
kalshi weirdest bets,0,5,0%,6.4
strangest kalshi bets,0,8,0%,7.8
weirdest bets on kalshi today,0,5,0%,9.8
weirdest kalshi bets,0,24,0%,9.2
