Top pages,Clicks,Impressions,CTR,Position
https://www.dollarbets.lol/crazy-kalshi-bets/,44,345,12.8%,3.8
https://www.dollarbets.lol/polymarket-vs-kalshi-craziest-markets/,1,6,16.7%,31.7
https://www.dollarbets.lol/weirdest-active-polymarket-markets-august-2026/,1,101,1%,7.7
https://www.dollarbets.lol/weirdest-polymarket-markets-june-2026/,1,36,2.8%,8.1
https://www.dollarbets.lol/,0,1,0%,4.0
https://www.dollarbets.lol/about/,0,11,0%,15.1
https://www.dollarbets.lol/craziest-bets-this-week/,0,1,0%,62.0
https://www.dollarbets.lol/funny-polymarket-bets/,0,82,0%,11.3
https://www.dollarbets.lol/guides/,0,8,0%,24.5
https://www.dollarbets.lol/hall-of-filth/obama-federal-charges-before-2027-bet/,0,7,0%,8.9
https://www.dollarbets.lol/manifold-markets-craziest-bets/,0,7,0%,59.6
https://www.dollarbets.lol/privacy/,0,1,0%,38.0
https://www.dollarbets.lol/terms/,0,1,0%,36.0
https://www.dollarbets.lol/the-lineup/,0,1,0%,5.0
https://www.dollarbets.lol/the-ocho/,0,7,0%,5.6
https://www.dollarbets.lol/tier/generational/,0,1,0%,1.0
https://www.dollarbets.lol/tier/respectable/,0,6,0%,12.0
https://www.dollarbets.lol/weird-kalshi-bets/,0,17,0%,11.9
https://www.dollarbets.lol/weird-markets/weird-prop-bets/,0,3,0%,68.3
https://www.dollarbets.lol/weird-prediction-markets/,0,1,0%,9.0
https://www.dollarbets.lol/weirdest-active-polymarket-markets-july-2026/,0,8,0%,5.9
https://www.dollarbets.lol/what-would-1-dollar-have-paid-famous-bets/,0,7,0%,5.4
https://www.dollarbets.lol/who-will-win-the-senate-in-2026-polymarket/,0,57,0%,16.1
