Country,Clicks,Impressions,CTR,Position
United States,47,521,9%,6.1
United Kingdom,3,12,25%,5.8
Belgium,1,2,50%,2.0
Canada,1,16,6.2%,4.7
Spain,1,1,100%,1.0
EST,1,1,100%,10.0
Israel,1,1,100%,2.0
Italy,1,4,25%,5.8
Thailand,1,2,50%,7.0
Argentina,0,1,0%,6.0
Australia,0,3,0%,17.0
Bangladesh,0,2,0%,50.5
Brazil,0,1,0%,3.0
Switzerland,0,1,0%,7.0
Chile,0,1,0%,18.0
CYP,0,3,0%,9.0
Germany,0,2,0%,6.0
France,0,1,0%,4.0
Greece,0,1,0%,4.0
India,0,4,0%,30.8
KAZ,0,1,0%,4.0
MAR,0,1,0%,59.0
Mexico,0,2,0%,31.0
Malaysia,0,1,0%,66.0
Netherlands,0,3,0%,10.0
Pakistan,0,1,0%,11.0
Peru,0,1,0%,11.0
Poland,0,3,0%,8.7
Saudi Arabia,0,1,0%,4.0
Singapore,0,1,0%,6.0
Sweden,0,3,0%,8.3
Turkey,0,2,0%,70.0
TWN,0,1,0%,2.0
UGA,0,1,0%,3.0
South Africa,0,1,0%,3.0
